评论标题,评论内容,标签
有消息明天要涨停，,有消息明天要涨停，,正向
最近很猛吗，全仓玩几天,最近很猛吗，全仓玩几天,正向
需要把野蛮人请回来，不要搞窝里斗。,需要把野蛮人请回来，不要搞窝里斗。,负向
国家存储器基地项目在武汉开工2017年01月3日07,国家存储器基地项目在武汉开工 2017年01月03日 07,中性
卖了点招商，补仓民生,只看pb， 放段时间。,中性
其他银行涨是价值回归，民生行涨是在炒概念,民生高管至今还没向社会道歉，难道这个概念和他们个个都有份吗？,负向
普通价296美元与1964年6月价300美元相比,理性投资者不应仅仅根据从金融服务机构那里得到的建议进行买卖,中性
创业板下跌5.43点,而当前大盘整体行情弱势特征无疑尽显,负向
这股票才难得的等,这股票才难得的等,中性
政策暖风下银行扎堆创新资产证券化,"中新网北京8月10日电 (记者 陈康亮)随着宏观政策环境的好转，多个官方文件明确支持或提及信贷资产证券化，近期国内银行间市场和交易所市场上，资产证券化似乎迎来创新的“春天”，产品创新不断，“首单”层出不穷。  　　最新一笔“首单”出自民生银行(9.390, 0.15, 1.62%...",中性
像现在的交通银行，民生银行，光大银行，中国银行所有业绩优良被严重低估的好企,像现在的交通银行，民生银行，光大银行，中国银行……所有业绩优良、被严重低估的好企业的股票，都可以成为主动优选的投资标的。,正向
这样有意思吗,这样有意思吗？,中性
10.28元净资产4.7倍市营简直是天上掉馅饼哈哈哈,10.28元净资产 4.7倍市营？简直是天上掉馅饼 哈哈哈,正向
7.13直播短调目标到这个位置,坚定持有确定性高成长蓝筹,正向
有种直接跌停高利贷杀进去,有种直接跌停 高利贷杀进去,负向
21家机构调研纪要,"暗藏良机一类股迎爆发契机 最受大家关注机构资金正建仓的股票机构最新调研股 强者恒强 21家机构调研纪要：中国四大金刚 小荷才露尖尖牙向深度发展趋式.方向对了,一切尽在不言中.每个人用尺子的方法不同.取决于角度.量的大小,决定纵深度发展趋式.强者恒强. 宝钢股份(600019) 鞍...",正向
650亿大单之后沙特又要与中国成立200亿美元投资基金,周四，沙特石油部长Khalid al-Falih表示，计划与中国成立并共同运营一个规模为200亿美元的投资基金，双方按50,中性
砸下来，快砸下来！。,砸下来，快砸下来！。,负向
你妈，看看其他银行股,你妈，看看其他银行股,负向
民生银行里套利国家队跟国家队唱反调的机构迟早得出事。,一急眼就抓人。,负向
民生银行0.72的市净率，现价7.70应有一定的投资价值了，本人已在7.68建仓,民生银行0.72的市净率，现价7.70应有一定的投资价值了，本人已在7.68建仓2000股，在未来6个月股价不超7.80内扩展至35000一40000股，之后酌情加仓持有，留作55岁以后的退休生活保障金，相信持股十余年会有不错的表现，加上其他的持股股票应足可以让我夫妻俩买一普通房...,正向
上周9.048.94之间建立底仓，之后每跌一毛购股,上周9.04~8.94之间建立底仓，之后每跌一毛购股,中性
买点试试！,买点放着拿息。,正向
大理药业2月23日快速上涨,大理药业2月23日快速上涨,正向
持股多单续抱，但若下破8.90多单卖出；无持股多单，继续观望；如有空单续抱；若上破9.,持股多单续抱，但若下破8.90多单卖出；无持股多单，继续观望；如有空单续抱；若上破9.70无持股多单，可买入；如有空单需补空，并且翻多；在收盘前才买进。除非大幅上破9.77,中性
预测今天要大跌,预测今天要大跌,负向
民营企业做成这个烂摊子应该倒闭。,看看 中国平安，格力电器。至少分红也高,负向
我想谈谈民生银行,2000年上市以来一直持有，你会觉得在中国股市上赚钱真的很容易。,中性
摩根大通：民生银行评级降至减持，自己却增持,真恶心,负向
如果按照今天收盘价6.36计算，除权后股票是多少钱,如果按照今天收盘价6.36计算，除权后股票是多少钱？,中性
买了1700股，加油,买了1700股，加油,正向
银行股有好的分红，股市就大涨,"银行股,有好的分红，股市就大涨",正向
你在证券公司买的股票亏了算不算个人行为银行有定期存款，银行本息都要负责，还有保,你在证券公司买的股票亏了算不算个人行为？银行有定期存款，银行本息都要负责，还有保险公司兜底50万。怎么不定存呢？非要买理财？还不是本行的理财，现在被骗了，不管是你贪婪还是你无知，都必须个人买单,负向
一个保险业者致宝检会的一封公开信,（小人物参大政，认同就请广泛转发)  也不记得从哪年开始，国内的一些保险公司推出了一种被称为“万能险”的产品，一家主要靠发行该险种获得神话般发展速度的公司，短短几年内其资产规模竟然达到中国年度GDP的3%左右，远不是奇迹可以形容的。  不管这个险种打着什么旗号、叫什么名字、包装成...,中性
费力拉上去，轻松砸下来,洗,负向
如期分期小赢卡贷卡卡贷在还信用卡方面有何区别,相信卡奴对这三个软件都不陌生，毕竟在如今人均持卡数在0.39张的如今，信用卡也越来越难以管理了，因此对各种还款软件的接受度也越来越高，特别是对一到还款日就各种懵逼，不知不觉间就超出了自己的预算，不得不转而求助还款软件的卡奴来说，这三个还款软件简直是熟到不要不要的。但是不同的还款软...,中性
st保千里违规担保了多少钱,st保千里违规担保了多少钱？,中性
大盘反转行情很快就会到来！,房市去杠杆股市牛又来了！抓紧时间进场。,正向
坚守的老卡卡人怎么办。走，留。对，错。,坚守的老卡卡人怎么办。走，留。对，错。,中性
九错一对东,九错一对东,中性
联诚精密SZ002921再一次的期待，和再次的等待,$联诚精密(SZ002921)$再一次的期待，和再次的等待,正向
非常期待中报分红毕竟是唯一中报也分红的好公司,一年两次分红 因为价格低在银行里面的股息率也算很高了 哈哈哈,正向
这波行情很多股票是跌的越多涨的越好，民生银行跌了4年破净最严重看好民生银行,这波行情很多股票是跌的越多涨的越好，民生银行跌了4年 破净最严重 看好民生银行,正向
珠海房企特大利好来了！,珠海房企特大利好来了！,正向
买了这个垃圾哭哭哭哭,买了这个垃圾[哭][哭][哭][哭],负向
自选股里唯一一个绿的股票,自选股里唯一一个绿的股票。。。。。这哪里是银行股，分明是环保股,负向
黔驴技穷,航天支行 接 某红色通缉犯的言论 都没成功 现在只能谈谈高管薪水 银行业风险了 [大笑],中性
到如此低位还长期下跌，不是某上市公司出问题，而是A股体系出问题啦,到如此低位还长期下跌，不是某上市公司出问题，而是A股体系出问题啦,负向
套牢到割肉前后两年,这是骗子的下场千真万确骗子自己的贴子说的我可没造谣造谣愿意承担法律责任,负向
要跌吗,我怎么看着要涨呢 眼花啦？？？[为什么],负向
补涨银行股,补涨银行股,正向
卖出煤炭，招商，浦发，兴业，民生各入2000股,卖出煤炭，招商，浦发，兴业，民生各入2000股!,正向
民生银行业绩快报没出,看来业绩不怎么样啊,负向
民生涨一分都好像要了它的狗命.真是扶不起的阿斗啊.董事长实在不行就把所有,"民生涨一分都好像要了它的狗命.  真是扶不起的阿斗啊.  董事长实在不行就把所有坏账都平了吧,所有坏账都平了也值6块钱. 然后竞争力显著提升.",负向
沪股通创年内单日净流入额新高逾9亿元资金青睐6只金融类股,沪股通创年内单日净流入额新高 逾9亿元资金青睐6只金融类股 06-30 05,中性
民生银行为何办事效率如此差，最后一天出报表,民营是私企，做事如此拖拉，最后一天出季报，这就是董事会的办事效率？连国企都比不上?坏帐率如此高？有点进取心好不好？最少利润增长率也要超进国有银行，不然你郑万春比别人工资高几倍怎么说的过去？,负向
谁在拼命的卖,谁在拼命的卖,负向
坚决支持监管层不放松非合规境外做空机构的审批同时坚决反对为了加入MS而侵害中小散户利益的衍生品交易,在我们A股对于中小散户只能做多赚钱的现在，坚决反对所谓的套期保值为借口恶意做空，我们反对扩大衍生品交易，反对在不公平（不按照公开、公正、公平）交易限制下单方面扩大一方交易打击大部分投资者利益的行为，只有我们全部都能参与的套保情况下才允许这样做，反正做空呗！都是公平的。,中性
民生银行，虎虎生威，猪年大吉，民生银行，老百姓的钱袋，,民生银行，虎虎生威，猪年大吉，民生银行，老百姓的钱袋，,正向
下一个关注：核电军工特钢秀珍小盘7000多万股,下一个关注：核电、军工特钢秀珍小盘7000多万股,中性
盘子三千点徘徊成不了大事,盘子三千点徘徊 成不了大事,负向
看着不过瘾上下就几分钱,[俏皮],负向
刘永好们眼光也是扯蛋的！为什么要交出民生控股权,如果不是刘永好们的投机行为，安邦没有机会,负向
我还没有建仓。,我还没有建仓。,中性
这实际上是抓住了高送转的一个大毒瘤,而一举成名的*ST宁通B通过卖房,中性
民生的分红为什么总是很差差的无底线了，小股东已忍无可忍。,民生的分红为什么总是很差？差的无底线了，小股东已忍无可忍。,负向
北京飞单案怎么样了，怎么没有披露了,北京飞单案怎么样了，怎么没有披露了,中性
今天大家都在民生银行避险，买进,[胜利],正向
时候未到。慢慢来。先让耐不住的走了。,时候未到。慢慢来。先让耐不住的走了。,中性
哈哈，今天好多吹牛壮胆的，就是不敢行动！！割肉的好多啊！！庄太狠了,哈哈，今天好多吹牛壮胆的，就是不敢行动！！割肉的好多啊！！庄太狠了,负向
去死吧,都是垃圾,负向
银行股投资价值凸显，强烈买入！,银行股投资价值凸显，强烈买入！,正向
明年的今天，你还在6.15元吗,明年的今天，你还在6.15元吗？,负向
明天高开，然后冲高，然后你懂的,明天高开，然后冲高，然后你懂的,正向
先有高业绩，再领高工资才好！,皆大欢喜！,正向
涨的最少，跌的最多,涨的最少，跌的最多,负向
2货赶紧买条士力架吃吃吧,2货赶紧买条士力架吃吃吧,负向
8.65民生是主动买套，还是贪心了再贪心！,最后抉择[大笑],中性
股东还有石油资产，大不了拿资产抵债,股东还有石油资产，大不了拿资产抵债,负向
偿SEO推广必须要做皿件事儿,"SEO推广是由网站优化网络运营媒体宣传结合的一种技朿而现在恰好就是媒体最为流衿真因为如此很多的站长之知道利用自媒体推广网站,结果推广了几年网站权重只朿刿",中性
增持跌减持涨呗。明白了周一满仓杀进去。关键是刘永好总在顶部卖啊！另外大盘要完蛋啊,增持跌减持涨呗。明白了周一满仓杀进去。关键是刘永好总在顶部卖啊！另外大盘要完蛋啊，有股灾4*0的节奏啊！这叫我如何是好？,负向
民生银行主力！,民生银行主力！,正向
2013年，A股首次纳入MSCI潜在升级市场观察名单,2013年，A股首次纳入MSCI“潜在升级市场观察名单,中性
大单砸啊l,大单 砸 - 啊l,负向
不要轻看了2644点，9月19日我就勉强定性2644点为中期底部,不要轻看了2644点，9月19日我就勉强定性2644点为中期底部,中性
18.9买的不知道明天能出不,18.9买的不知道明天能出不？,中性
跑路呀，一日游而已。,跑路呀，一日游而已。,中性
真的是个二货！,真的是个二货！,负向
请问公司今年是否有开采钒矿规划，开采证是否过有效期,请问公司今年是否有开采钒矿规划，开采证是否过有效期？,中性
民生银行最大风险是被AB违法挪用了资金。最最担心的，是民生银行被AB违法挪用大,民生银行最大风险是被AB违法挪用了资金。 最最担心的，是民生银行被AB违法挪用大量资金。如果爆雷，就是超级大雷。 唯一稍觉宽心的，会计师事务所是毕马威，应该不会为了一点点小钱，不顾全球几十年来积攒下的声誉吧。,负向
华尔街有句名言,华尔街有句名言,中性
有些人一天不吹牛就会痒死,[微笑] 懂就懂  不懂就是不懂 别装好吧,负向
你们有每天去看理财产品的习惯吗可民生银行就是一款不错的理财产品。,你们有每天去看理财产品的习惯吗？可民生银行就是一款不错的理财产品。,正向
两条野狗停止撕逼就是民生上涨的开始,两条野狗停止撕逼就是民生上涨的开始,负向
旅游一个星期回来，你还这个熊样啊！服了,旅游一个星期回来，你还这个熊样啊！服了,负向
精工继续跌，回补缺口！,精工继续跌，回补缺口！,中性
不服不行,不服不行,负向
500亿可转债太好了，发100000亿最好,唉，我们股民没有话说,正向
股海无涯，一个无聊的人。,股海无涯，一个无聊的人。,负向
见招拆招，不纠结,见招拆招，不纠结,中性
今天在8.09减持了1.4万股。郁闷。,从9.30元左右持有到现在，亏损超过2万多。。昨天和今天的跌势虾到我了。。减持了1.4万股，留了8000股。。 持股成本升到10.40元了。。。 今天减持的钱买宁波银行了。。今天民生不护盘。亏损我倒认了。。现在一红盘。感觉好虾人。 明天都不知道怎么办了。 大家觉得有没有必要把宁波...,负向
走了走了，跌了再回来鼓掌,走了走了，跌了再回来[鼓掌],负向
携手共赢中国民生银行与华为达成战略合作,携手共赢 中国民生银行与华为达成战略合作-IT168 服务器专区 http,正向
小盘医药次新股,小盘医药次新股,中性
好不容易涨了点点，把老娘逗的心潮澎湃，他妈的又阳萎早泄了。,好不容易涨了点点，把老娘逗的心潮澎湃，他妈的又阳萎早泄了。,负向
7.4元的民生具有罕见的投资价值,这个标题的帖子看能发多少？,正向
小二，快从帐户上选些套牢的股票割肉与洒家下酒,[微笑],负向
家居界茅台，长线到80元,家居界茅台，长线到80元,正向
丢人现眼，恶心极了！,丢人现眼，恶心极了！,负向
买了你，倒八辈子霉！,买了你，倒八辈子霉！,负向
，说是非常值,，说是非常值,正向
这支股票股息率很高，而且破净好久，今日入驻，打算持有个两年以上，只买不卖，耐心持,这支股票股息率很高，而且破净好久，今日入驻，打算持有个两年以上，只买不卖，耐心持,正向
任何大资金只会买行业前2名，你说买平安银行，兴业银行还说的过去，买什么民生，你来股市究竟干嘛来了来做慈善，扶贫,任何大资金只会买行业前2名，你说买平安银行，兴业银行还说的过去，买什么民生，你来股市究竟干嘛来了？来做慈善，扶贫？,负向
天创时尚是要雄起了,天创时尚是要雄起了,正向
否极泰来！,公司经营良好，没有根源性利空问题，跌一跌洗出立场不坚定的家伙 月底火箭直升[胜利],正向
一万元可买民生银行1603股，可分红552.5元。一万元可买茅台11.71股，可分红170.24元。一万元可买五粮液105.2股，可分红178.9元。,一万元可买民生银行1603股，可分红552.5元。一万元可买茅台11.71股，可分红170.24元。一万元可买五粮液105.2股，可分红178.9元。,正向
论坛里骂人的都是庄托,民生长期搞舆论战，一天一个月一年几年打压投机人的信心，等到搜集到足够多的筹码再来几个超级大震荡基本很多人都下车了做投资真不容易，还是花点时间远离贴吧，远离这股戾气，股市只有少数人挣钱，九九八十一难,负向
民生银行合理估值在4000亿市值以上！目标20元,目标20元,正向
天天磨叽，磨叽磨叽磨破尼玛的兹巴！,天天磨叽，磨叽磨叽磨破尼玛的兹巴！,负向
银行股早已残废！,银行股早已残废！,负向
5个亿大盘就飞了,民生害人吧,负向
首创股份一定要把握住机会，不要错过,首创股份一定要把握住机会，不要错过,正向
这股牛啊，买进,这股牛啊，买进,正向
银行板块大势已去。该涨的已经涨了。没涨的难兴起风浪,银行板块大势已去。该涨的已经涨了。没涨的难兴起风浪,负向
大家都说今年大盘会回升看来不怎样，,[哭],负向
明显假托单真出货,那就取决于你的决心了,中性
中期无分红啊,中期无分红啊？自11年来第一次吧。说明了什么？,中性
不错，我要买点,不错，我要买点,正向
民生银行不断创造新低，到底是谁在不计成本的抛售,民生银行不断创造新低，到底是谁在不计成本的抛售,负向
8.5是大底，8块以下是黄金，买到就是赚到，不信一月后看，立帖为证，主力妄想,8.5是大底，8块以下是黄金，买到就是赚到，不信一月后看，立帖为证，主力妄想,正向
华夏银行600015：第七届董事会爆股权争夺！,华夏银行（500015）：2016年3月31日七届董事会爆出3大股东“国网英大”股权争夺！ 重大利好！----华夏银行第七届董事会第十六次会议决议公告： 2016年3月31日---- ---“国网英大国际控股集团有限公司未能实现同时通过协议方式受让本次转股中部分股份的诉求。” -...,中性
股吧交流的地方，不是吹牛皮，本人感觉民生有机会,表面看民生银行图形会回调，但30分钟KDJ已经走好 再对比不断新高不回头的工行农行，几乎最低市盈率的民生银行想不出不涨的理由,正向
8块三等你，快点下来，拜神拜神,8块三等你，快点下来，[拜神][拜神],中性
R资金布局质地优良标的暴跌次新逐步清晰,聚焦暴跌质地优良标的次新股  　　在忍受杀跌行情同时不应忘记，“安全边际永远是跌出来的”，对于部分股价涨幅巨大的权重股、中字头大盘股，还是小心为上，尤其不宜盲目重仓甚至加杠杆参与。因为资本为经济发展服务，决不允许空转！融资才是大A的发展的基石，大资金一味追求“空手套白狼”的急功近...,中性
下周爆发特大股灾，5.0版本。,下周爆发特大股灾，5.0版本。,负向
1请笨蛋菲特1991闭嘴吧给股票自然发展走势,套牢的人越多 反弹阻力越大 你功劳是在太大了 民生受用不起啊[微笑],负向
第三批科创板上会公司澜起科技披露上会稿,"新浪财经讯6月3日消息,第三批科创板上会公司,科创板拟上市公司澜起科技披露上会稿。",中性
博源集团债券违约，赶紧爆料,赶紧挖点料暴一暴，看有没有更多违约的事件被曝光，看民生银行不良贷款有多少,负向
史大侠，巨人中流砥柱,看当下鸡犬升天，貌似背后行情即将来临。下周一关注中流砥柱银行，茅台，伊利，恒瑞，上汽，福耀等。,正向
别闹，要午休了，还不赶紧回调一下要不下午怎。,别闹，要午休了，还不赶紧回调一下？要不下午怎。,负向
成品油价格迎来四连涨汽柴油每升分别上调0.08,成品油价格迎来四连涨 汽柴油每升分别上调0.08,正向
事实证明，唯有银行板块才能吸引新资金，也唯有银行板块具备自我输血的功能。,事实证明，唯有银行板块才能吸引新资金，也唯有银行板块具备自我输血的功能。,正向
半年报国家队准举牌股票，只有民生和北京银行股价跌的,国家队十几个准举牌股票（持股4.99%），消息公布后除民生和北京银行外都大涨 其中有6个券商股：东方、光大、兴业、西南、海通、东吴证券，6个平均周涨幅8% 梅花生物涨6%，小商品城涨3%，国电电力涨停，中航资本涨6%、君正集团涨2% 民生银行低开2分钱跌1%，北京银行高开2分钱跌...,中性
真系连垃圾都不知,真系连垃圾都不知,负向
李大的大非常紧,李大的大非常紧,中性
如果真有人做空民生，那么将会被多头打爆，价值投资趋势已到来。,如题，如果没有做空民生。还只是因为和安邦之间的不确定因素而导致压制民生， 那么，等对安邦调查结果出来之后将会对民生产生直接的利好。,正向
塔吉克斯坦也通了。,塔吉克斯坦也通了。,中性
低估的银行！民生价值修复强烈！操作意见,民生银行，之前离开小微企业战略，走大企业之路，2011年以来国家收拢货币，投资产能过剩，需求不振，形成的坏账比较严重，近三年，调整了资产配置战略，重新回到小微企业与零售业务，这是他的强项，缺点在于财富管理薄弱，因此才有了社区银行网点的布局，1600家网点两三年内布局完成，执行力不...,中性
银行股东10年新低10年磨一剑,大家可以看看历史 现在银行板块的股东数甚至比熊市1800点的时候还低筹码还要集中 哈哈哈,中性
世界上居然有这么便宜的股票,世界上居然有这么便宜的股票,正向
为什么每次选股都有一种万箭射过来而我就独善其身的感觉，难道我这种人只能选择可牛个,为什么每次选股都有一种万箭射过来而我就独善其身的感觉，难道我这种人只能选择可牛个股期权？,中性
买了9900，一个单子成交,买了9900，一个单子成交,正向
如果大盘跌100点，银行会涨多少700点呢,大概需要银行板块涨2个百分点就能稳住大盘。 银行板块持续涨上一周，大盘实质跌700点左右探新低，银行涨10个点左右见顶横盘， 这样看上去大盘没有破新低，正好回调到2800缺口，完美。 在银行股里趴着的没几个指望银行大涨赚差价的，要么长线分红，要么是临时来躲躲的。。。,中性
放量了，好事,利空消息出了， 差不多就是时机,正向
证监会正式发布行政处罚决定书对鲜言罚没34.7亿,证监会正式发布行政处罚决定书 对鲜言罚没34.7亿,中性
登记日要到了，除权交税金,买多交多,中性
看了看公告内容，一，购买的小贷资产是优质资产。,看了看公告内容，一，购买的小贷资产是优质资产。,正向
持股过节红彤彤，银行最稳估值低；低中更低民生行，耐心等待修复时。,持股过节红彤彤，银行最稳估值低；低中更低民生行，耐心等待修复时。,中性
一下跌停，或停盘,不用理它了,负向
中国科技金晶科技目标价5.00,中国科技金晶科技目标价5.00[牛],正向
通航航空服务中心项目国家,通航航空服务中心项目、国家网络安全学院共建项目、网络安全专业人才培训基地项目、工业物联网安全项目... 9个重大项目集中签约落户武汉临空港 发布时间：2017年02月21日 09,中性
明天开盘价多少,明天开盘价多少？,中性
股票卖出后全去自杀了,股票卖出后全去自杀了,负向
市场的机会无处不在，就是不好抓,市场的机会无处不在，就是不好抓,负向
黄金市场超跌长短期均迎较佳投资机会滚动要闻,我国未来将实施四次重大深空探测任务,正向
2017全年10派2.1送转2股优于其他大型股份制银行马上分红除权准备好现金,2017全年10派2.1送转2股 优于其他大型股份制银行 马上分红除权准备好现金迎接历史估值最低最有价值的民生银行,中性
再过一年明生能回到7元吗,再过一年明生能回到7元吗,负向
央行副行首提塑料钞票新事物新概念！,央行副行首提塑料钞票 新事物新概念！,中性
净资产下面就不要送转股了！有意思吗,高分现金分给现在持股的股东 再募资吸引外面的投资人,负向
十二年老股民,已出次垃圾，强势进入600869智慧能源，至少3个板，各位看官，请拭目以待。,正向
竟然冲队友发怒！,竟然冲队友发怒！,负向
放心市场会回来的,放心市场会回来的,正向
又有主力入场了，大涨5个点或涨停有望了,不满上市公司管理层“恣意妄为” 中毅达独董提离职,正向
这样一来市场里的便宜股已经很多了,这样一来市场里的便宜股已经很多了,中性
随时准备跑路把.,随时准备跑路把.,负向
今天7.66元抄底买入4万7千股，明天趁庄家拉涨时获利清仓，小赚3%也不错气死庄家哈哈哈,今天7.66元抄底买入4万7千股，明天趁庄家拉涨时获利清仓，小赚3%也不错啊，气死庄家，哈哈哈！,正向
603157发行价8.41元现价6.46元净资产6.32元流通盘1.45亿股上海,拉夏贝尔生产的夏季女装很好啊,中性
好久没来了，怎么没见李大的大了,好久没来了，怎么没见李大的大了？,中性
l深港通优质举牌标的,深港通优质举牌标的   福星股份（000926）： 总股本9.49亿，大股东控股19.3% 净资产：9.978元/股，收益(二)：0.360 每股未分配利润：4.503元/股 连续10年无送转 15年底增发价12.66元/股 大股东承诺减持价15.20元/股 大股东控股19.3%...,中性
二股东鑫根资本深夜发文或默认减持乐视网,二股东鑫根资本深夜发文 或默认减持乐视网,中性
看似明天要继续跌，能不好要跌的怀疑人生,看似明天要继续跌，能不好要跌的怀疑人生,负向
为何不直接说上证指数重新跌到1000点以下,为何不直接说上证指数重新跌到1000点以下？,负向
MSCI机构追逐金融股引入战略投资成功...,"机会早知道：MSCI机构追逐金融股引入战略投资成功与否能看到的!002142宁波银行 QFII新华侨银行与601009南京银行(法国巴黎银行第一大股东).MSCI机构知道银行业中也有 \""矛台与五粮液\""",中性
民生南行，大股东高管增持股,安全垫在不怕,正向
招商来收购民生银行吧！,招商来收购民生银行吧！,中性
民生银行是恶意打压吗，需要举报吗,举报方法,负向
要跟招商银行学习,要跟招商银行学习,中性
加油，拉个板，市场资金就过来了,加油，拉个板，市场资金就过来了,正向
明天挂跌停板跑了！,华东数控002248小荷才露尖尖角，周线才底分型，漫长上涨在后头！,负向
业绩没问题，都是银监会害的,安邦股东资格不通过  就是脑袋上放把宝剑， 害死一堆股民,负向
大金所理财帮你走出理财困境轻松理财不用愁,买股票不如买好理财,中性
平安银行股价14.6，看民生银行每股净资产和收益，分红差距没有这么大把,平安银行股价14.6，看民生银行每股净资产和收益，分红差距没有这么大把？,负向
民生银行股怎么买不了谁知道怎么回事,民生银行股怎么买不了？谁知道怎么回事,负向
民生银行的高管就是一帮人渣好股票，不好好分红，每年的分红不到百分之三十。每个,"民生银行的高管,就是一帮人渣 好股票，不好好分红，每年的分红不到百分之三十。每个懂事的工资，好几百万 股市大侠认为，股市就应该.取消红利税.强制年分红70%。引导股市.价值投资，什么时间，银行股，有好的分红，什么时间，股市就大涨，买股票.不分红.你买股票.干什么?我15.9卖出一...",负向
可以大胆买了,可以大胆买了,正向
巴克莱银行在内的,巴克莱银行在内的,中性
突然跳水为哪般想一下想一下想一下,突然跳水为哪般？[想一下][想一下][想一下],中性
明天可能有戏了献花,明天可能有戏了[献花],正向
不是跌停是跌不停,不是跌停是跌不停？,负向
现在价格比正金一季度低吧华夏增持成本也是8.3左右卢老板8.7元现在买如长,现在价格比正金一季度低吧？华夏增持成本也是8.3左右 卢老板8.7元 现在买如长期投资很好哦 哈哈哈,正向
打骗子笨蛋菲特91的脸,股海无涯0295 影响力 吧龄 2.8年  发表于 2016-12-15 09,负向
还好拿住了，没被洗出去,还好拿住了，没被洗出去,正向
民生银行估计还要在底部磨几周，五月六月份才能有所表现吧,民生银行估计还要在底部磨几周，五月六月份才能有所表现吧？,中性
同志们2000点很快就会见到，发行节奏加快是见顶征兆,同志们2000点很快就会见到，发行节奏加快是见顶征兆，信的顶,中性
中国铝业暴跌啊我4.94买的不会赔吧哈哈哈。,中国铝业暴跌啊 我4.94买的 不会赔吧 哈哈哈。,负向
民生像夜壶，跌急了都拿出来用一下，向上涨的时候谁还记的床底下还有一个腥骚的夜壶。,民生像夜壶，跌急了都拿出来用一下，向上涨的时候谁还记的床底下还有一个腥骚的夜壶。,负向
举牌怎么了举牌又不是偷谁抢谁，再说，法律没有规定不准举牌。,举牌怎么了？举牌又不是偷谁抢谁，再说，法律没有规定不准举牌。,负向
民间股神杨宝忠7块多时就买入民生银行H股，目前看杨宝忠先生被套，但长期来看民生银,民间股神杨宝忠7块多时就买入民生银行H股，目前看杨宝忠先生被套，但长期来看民生银行早晚会回到净资产以上，我相信杨宝忠先生是对的,正向
中国股市解散。集体回家种地,下跌遇支撑！现在能出手抢反弹吗？,负向
谁在恶意做空,"13分钟之内,可以让1600多只股票跌停,是谁在恶意做空? 肯定不是散户,也不是哪一个小庄家. 因为他没这个能量. 以前不是总查恶意做空吗?现在为什么不查了? 或许以前是国家队被套了吧,所以死活也得把大盘拉起来.而现在呢, 被套的都是散户,所以,就没有人发声了. 这也是中国特色之...",负向
快快快。跌起来。跌起来才嗨皮,快快快。跌起来。跌起来才嗨皮,负向
净利润1.4亿金晶科技抄底抄底抄底,净利润1.4亿金晶科技[抄底][抄底][抄底],负向
吓唬人,吓唬人,正向
继续缩量好现象没有买卖就没有伤害坐等半年报和分红我们是来投资的不是投机的,继续缩量 好现象 没有买卖就没有伤害 坐等半年报和分红 我们是来投资的不是投机的 哈哈哈,正向
一位接近监管层的人士向记者表示。该人士进一步透露，会里基本思路很明确，就是不管什么价格发行，什么板，实际控制人和控股股东锁定三年，其他定增股东锁定一年。,一位接近监管层的人士向记者表示。该人士进一步透露，会里基本思路很明确，就是不管什么价格发行，什么板，实际控制人和控股股东锁定三年，其他定增股东锁定一年。,中性
学习巴菲特8.75加仓民生银行8.55满仓7.65加杠杆民生银行,加油菲菲特,正向
低估值个股受热捧,摩根大通或将少,中性
我发个pb都不让发,这个论坛醉了,负向
如果有行情。银行会缺席吗。好股实际不多，能容下大资金的更不多。现在可以担大,如果有行情。 银行会缺席吗。 好股实际不多，能容下大资金的更不多。 现在可以担大任的就是银行股，和大券商。 银行是最低估的。 可以回购，可以配置，可以理财。,中性
其他股都涨了20%，就银行股不涨。扫兴！,其他股都涨了20%，就银行股不涨。扫兴！,负向
将10送10股配6后继续保持高送转潜力,将10送10股配6后继续保持高送转潜力 600739辽宁成大--每股估计实际 资产价值393.39元/股 年终将10转10股配6后继续保持高送转潜力 300118东方日升将10转10配6 每股实际资产价值139.3元/股,正向
难道有内幕民生银行亏损了，不然股价怎么这么弱。,难道有内幕民生银行亏损了，不然股价怎么这么弱。,负向
泰山启动在即，等待明日大涨,泰山启动在即，等待明日大涨,正向
煤涨成本提高则钢必跌。,煤涨成本提高则钢必跌。,负向
民生银行的资产证券化现在搞得不错啊,资产证券化， 新的增长点,正向
现在是时候给你们看看我的选股指标了。,宁波精达603088小荷才露尖尖角，周线才底分型，漫长上涨在后头！,正向
特别告示：立即抢购7.25元历史最低位附近的金钼股份601958,核电，稀有金属，战争金属，上市以来的历史最低价格，四大著名牛散重仓。。等多重题材和热点，现价7.25元，1年之内的金钼股价至少22元，升值大于200%以上，买进者必获暴利。,正向
买民生银行，农业银行，工商银行都不适合买股票，大金融只有一个龙头,买民生银行，农业银行，工商银行都不适合买股票，大金融只有一个龙头,负向
民生银行是拉煤大货车，又脏又黑。渣渣民生,民生银行是拉煤大货车，又脏又黑。 渣渣民生,负向
银行板块涨了，民生怎么还不动,银行板块涨了，民生怎么还不动,负向
银行股！涨停涨停涨停,涨停涨停涨停 涨停涨停涨停,正向
7.34元的民生银行具有罕见的投资价值,7.34元的民生银行具有罕见的投资价值,正向
冥生淫行无恶不作,冥生淫行无恶不作,负向
一个堂堂正正的国有银行还不如一个私企你们看看吧！片仔癀现如今涨到了120,一个堂堂正正的国有银行还不如一个私企你们看看吧！片仔癀现如今涨到了120,负向
