用户股吧年龄,用户昵称,个股名称,评论标题,评论内容,发帖时间,标签,label
7.4年,一骑绝尘B,民生银行(600016.sh),同志们2000点很快就会见到，发行节奏加快是见顶征兆,同志们2000点很快就会见到，发行节奏加快是见顶征兆，信的顶,2016/8/1 10:16,中性,0
6.7年,参差必斥您滔4956,民生银行(600016.sh),中国铝业暴跌啊我4.94买的不会赔吧哈哈哈。,中国铝业暴跌啊 我4.94买的 不会赔吧 哈哈哈。,2017/10/24 22:31,负向,-1
3.8年,星辰大海浪,民生银行(600016.sh),民生像夜壶，跌急了都拿出来用一下，向上涨的时候谁还记的床底下还有一个腥骚的夜壶。,民生像夜壶，跌急了都拿出来用一下，向上涨的时候谁还记的床底下还有一个腥骚的夜壶。,2019/5/17 11:15,负向,-1
8.6年,夜莺2013,民生银行(600016.sh),举牌怎么了举牌又不是偷谁抢谁，再说，法律没有规定不准举牌。,举牌怎么了？举牌又不是偷谁抢谁，再说，法律没有规定不准举牌。,2016/12/4 21:48,负向,-1
7.4年,保时捷_911,民生银行(600016.sh),民间股神杨宝忠7块多时就买入民生银行H股，目前看杨宝忠先生被套，但长期来看民生银,民间股神杨宝忠7块多时就买入民生银行H股，目前看杨宝忠先生被套，但长期来看民生银行早晚会回到净资产以上，我相信杨宝忠先生是对的,2019/3/20 16:28,正向,1
7.1年,黑色太洋,民生银行(600016.sh),中国股市解散。集体回家种地,下跌遇支撑！现在能出手抢反弹吗？,2017/7/17 20:23,负向,-1
9.3年,股友UfMCzR,民生银行(600016.sh),谁在恶意做空,"13分钟之内,可以让1600多只股票跌停,是谁在恶意做空? 肯定不是散户,也不是哪一个小庄家. 因为他没这个能量. 以前不是总查恶意做空吗?现在为什么不查了? 或许以前是国家队被套了吧,所以死活也得把大盘拉起来.而现在呢, 被套的都是散户,所以,就没有人发声了. 这也是中国特色之...",2016/1/7 14:37,负向,-1
4.4年,huzi0511,民生银行(600016.sh),快快快。跌起来。跌起来才嗨皮,快快快。跌起来。跌起来才嗨皮,2018/9/11 20:00,负向,-1
3.4年,账户已注销,民生银行(600016.sh),净利润1.4亿金晶科技抄底抄底抄底,净利润1.4亿金晶科技[抄底][抄底][抄底],2019/11/4 12:34,负向,-1
7.2年,小小贝勒1211,民生银行(600016.sh),吓唬人,吓唬人,2016/2/18 13:51,正向,1
7.9年,thsguest,民生银行(600016.sh),继续缩量好现象没有买卖就没有伤害坐等半年报和分红我们是来投资的不是投机的,继续缩量 好现象 没有买卖就没有伤害 坐等半年报和分红 我们是来投资的不是投机的 哈哈哈,2017/8/22 15:11,正向,1
5.2年,财经大资讯9622,民生银行(600016.sh),一位接近监管层的人士向记者表示。该人士进一步透露，会里基本思路很明确，就是不管什么价格发行，什么板，实际控制人和控股股东锁定三年，其他定增股东锁定一年。,一位接近监管层的人士向记者表示。该人士进一步透露，会里基本思路很明确，就是不管什么价格发行，什么板，实际控制人和控股股东锁定三年，其他定增股东锁定一年。,2017/3/9 20:16,中性,0
7.7年,股海无涯0295,民生银行(600016.sh),学习巴菲特8.75加仓民生银行8.55满仓7.65加杠杆民生银行,加油菲菲特,2018/11/8 9:10,正向,1
8.6年,股友AF3Dzm,民生银行(600016.sh),低估值个股受热捧,摩根大通或将少,2017/10/24 20:37,中性,0
5.1年,股友YUmcp1,民生银行(600016.sh),我发个pb都不让发,这个论坛醉了,2017/4/20 11:13,负向,-1
8.1年,钱没纸贵,民生银行(600016.sh),如果有行情。银行会缺席吗。好股实际不多，能容下大资金的更不多。现在可以担大,如果有行情。 银行会缺席吗。 好股实际不多，能容下大资金的更不多。 现在可以担大任的就是银行股，和大券商。 银行是最低估的。 可以回购，可以配置，可以理财。,2018/11/13 16:29,中性,0
6.7年,梅花开处,民生银行(600016.sh),其他股都涨了20%，就银行股不涨。扫兴！,其他股都涨了20%，就银行股不涨。扫兴！,2016/4/6 21:40,负向,-1
5.1年,吴建勇4,民生银行(600016.sh),将10送10股配6后继续保持高送转潜力,将10送10股配6后继续保持高送转潜力 600739辽宁成大--每股估计实际 资产价值393.39元/股 年终将10转10股配6后继续保持高送转潜力 300118东方日升将10转10配6 每股实际资产价值139.3元/股,2018/1/19 8:05,正向,1
9.4年,清虹望月,民生银行(600016.sh),难道有内幕民生银行亏损了，不然股价怎么这么弱。,难道有内幕民生银行亏损了，不然股价怎么这么弱。,2018/1/22 13:01,负向,-1
7.5年,股友og0fOF,民生银行(600016.sh),泰山启动在即，等待明日大涨,泰山启动在即，等待明日大涨,2018/6/17 21:41,正向,1
4.4年,他彦飞给你发的,民生银行(600016.sh),煤涨成本提高则钢必跌。,煤涨成本提高则钢必跌。,2017/12/13 17:36,负向,-1
7.1年,价值投资划线5688,民生银行(600016.sh),民生银行的资产证券化现在搞得不错啊,资产证券化， 新的增长点,2016/8/11 11:38,正向,1
10.1年,五娃1,民生银行(600016.sh),现在是时候给你们看看我的选股指标了。,宁波精达603088小荷才露尖尖角，周线才底分型，漫长上涨在后头！,2018/5/2 16:07,正向,1
6.4年,我不是吓大毕业的2990,民生银行(600016.sh),特别告示：立即抢购7.25元历史最低位附近的金钼股份601958,核电，稀有金属，战争金属，上市以来的历史最低价格，四大著名牛散重仓。。等多重题材和热点，现价7.25元，1年之内的金钼股价至少22元，升值大于200%以上，买进者必获暴利。,2017/4/27 16:54,正向,1
6.8年,只炒一个股,民生银行(600016.sh),买民生银行，农业银行，工商银行都不适合买股票，大金融只有一个龙头,买民生银行，农业银行，工商银行都不适合买股票，大金融只有一个龙头,2019/4/30 21:19,负向,-1
7.6年,韮菜小哥,民生银行(600016.sh),民生银行是拉煤大货车，又脏又黑。渣渣民生,民生银行是拉煤大货车，又脏又黑。 渣渣民生,2018/10/22 10:29,负向,-1
3.1年,玛雅MAYA,民生银行(600016.sh),银行板块涨了，民生怎么还不动,银行板块涨了，民生怎么还不动,2019/7/2 14:36,负向,-1
6.6年,股友pL2cwp,民生银行(600016.sh),银行股！涨停涨停涨停,涨停涨停涨停 涨停涨停涨停,2016/12/1 13:59,正向,1
9.4年,xinjian823,民生银行(600016.sh),7.34元的民生银行具有罕见的投资价值,7.34元的民生银行具有罕见的投资价值,2018/6/19 11:16,正向,1
5.4年,股友QLtMaB,民生银行(600016.sh),冥生淫行无恶不作,冥生淫行无恶不作,2019/5/9 10:20,负向,-1
5.1年,赣江123,民生银行(600016.sh),一个堂堂正正的国有银行还不如一个私企你们看看吧！片仔癀现如今涨到了120,一个堂堂正正的国有银行还不如一个私企你们看看吧！片仔癀现如今涨到了120,2018/5/28 13:05,负向,-1
7.7年,股海无涯0295,民生银行(600016.sh),阿Q菲菲特的自己可怜之处,在笨蛋菲特1991不断的给自己洗脑声中，笨蛋菲特1991付出了很高的价格进场。 风险来自你不知道自己正在做什么  因为你没做过企业的老板所以才会把投资股市和做老板当做一回事 只会沾沾自喜那曾经大赚过了五万元！！,2018/9/4 8:59,中性,0
3.2年,结硬寨_打呆仗,民生银行(600016.sh),银行股每股经营现金流，难道是负数的好为什么招商银行负数的反而是最好的想不通啊,银行股每股经营现金流，难道是负数的好？为什么招商银行负数的反而是最好的？想不通啊。。。。,2019/5/25 17:27,中性,0
3.9年,股友dxTAOB,民生银行(600016.sh),小心抄一手shi,今天庄家玩的,2018/6/14 9:35,中性,0
7年,n143132790916e76,民生银行(600016.sh),很快又回到8.5元,很快又回到8.5元,2016/3/7 13:18,中性,0
7.2年,雪山飞狐发射1773,民生银行(600016.sh),快买002377破净半年盈利动态13,快买002377破净半年盈利动态13,2019/9/5 10:35,中性,0
11.2年,临西镇勇,民生银行(600016.sh),5倍多的PE，净资产折价卖给你，这么优良的金融资产你要是现在没参与其中的话，过一段时间肯定会后悔，光说风险风险，该你赚到的钱你没赚到也是风险！修振咏,5倍多的PE，净资产折价卖给你，这么优良的金融资产你要是现在没参与其中的话，过一段时间肯定会后悔，光说风险风险，该你赚到的钱你没赚到也是风险！修振咏,2017/6/19 16:57,负向,-1
8.8年,火庄家,民生银行(600016.sh),快买，大盘跳水,快买，大盘跳水,2016/4/18 13:26,负向,-1
9.2年,业余骑牛人0015,民生银行(600016.sh),民生等银行股是短线的好目标,介入搏短线,2017/2/10 12:54,正向,1
6.4年,沃伦巴菲特1985,民生银行(600016.sh),明天明生开启暴力拉升阶段，韭菜们注意接盘,明天明生开启暴力拉升阶段，韭菜们注意接盘,2019/8/26 21:19,负向,-1
7.2年,幸福txto1n,民生银行(600016.sh),别着急，民生银行肯定要跌倒6元左右,别着急，民生银行肯定要跌倒6元左右,2017/4/24 23:36,负向,-1
5.9年,股海牛符m,民生银行(600016.sh),短期趋势：强势上涨过程中，可逢低买进，暂不考虑做空。,短期趋势：强势上涨过程中，可逢低买进，暂不考虑做空。,2018/1/18 21:28,正向,1
5.4年,股友QLtMaB,民生银行(600016.sh),冷血淫行,冷血淫行,2019/8/8 11:26,负向,-1
13.4年,联合投票权6832,民生银行(600016.sh),舵手聚会看天下谁是英雄,群英会,2017/7/14 15:16,中性,0
6.3年,tu125126,民生银行(600016.sh),三季报1.07元,三季报1.07元,2019/10/30 11:15,中性,0
6.6年,股友pL2cwp,民生银行(600016.sh),一下就挺上去了,不好看,2016/12/2 14:33,负向,-1
13年,股友J1UBf3,民生银行(600016.sh),网购机快递迅速普及关注小盘包装龙头,网购机快递迅速普及关注小盘包装龙头 合兴包装(002228),2016/3/4 13:00,中性,0
3.7年,张颖莹,民生银行(600016.sh),又阳萎了,又阳萎了,2018/8/16 11:13,负向,-1
4.4年,股友QVBRVY,民生银行(600016.sh),年报不好看，怕大家看了晚上睡不着觉,年报不好看，怕大家看了晚上睡不着觉,2018/3/29 20:48,负向,-1
5.1年,股友YUmcp1,民生银行(600016.sh),各家银行的PB统计，已经逐步进入消灭1以下的阶段了，工商1.08,代码 名称 PB 002142 宁波银行 1.79 002807 江阴银行 1.78 600908 无锡银行 1.73 603323 吴江银行 1.72 601128 常熟银行 1.72 600036 招商银行 1.57 601997 贵阳银行 1.44 601009 南京银行 ...,2017/11/8 11:34,中性,0
4.5年,化石中石化,民生银行(600016.sh),建议公司关门变卖资产分给各位股东,建议公司关门 变卖资产 分给各位股东,2018/5/29 12:50,负向,-1
4.7年,沪水兵,民生银行(600016.sh),挤上最后一班车,挤上银行股最后一班车,2019/2/27 14:07,正向,1
5.2年,rivnhz01467,民生银行(600016.sh),记忆是一种相聚的方式,记忆是一种相聚的方式,2017/4/19 9:59,中性,0
5.1年,最快来这看4710,民生银行(600016.sh),北京住建委发布白皮书：确保2017年房价环比不增长,北京住建委发布白皮书：确保2017年房价环比不增长,2017/7/12 9:37,中性,0
6.8年,A股市虎符,民生银行(600016.sh),眉毛上的汗水和眉毛下的泪水，你必须选择一样！,眉毛上的汗水和眉毛下的泪水，你必须选择一样！,2016/7/26 21:04,负向,-1
7.4年,kxb137,民生银行(600016.sh),通胀冷却料不会延后美联,望城地块 溢价达150%,2017/7/4 5:49,中性,0
5.2年,tgp风起,民生银行(600016.sh),来来我来给你解释分红为啥交税，为啥除权，我们现在交易的股票，都是你的上家卖给,来来我来给你解释分红为啥交税，为啥除权，! 我们现在交易的股票，都是你的上家卖给你。不是公司卖给你的，就好比买房，开发商卖给你后，房子涨价后你卖出，得的利润是你的，而不是开发商，我们现在买的股票就好比买的二手房！至于分红是公司赚钱了，这钱是公司财务拿出来的，除权是因为怕股价波动过大造成恐慌，所有市场都是要除权的，最后是税收就好比你工资要交税一样！，重点是你买卖的股票不是公司卖给你的，是你的上一家投...,2019/7/5 21:22,中性,0
2.9年,ccq2019,民生银行(600016.sh),我看了财务数据挺不错的，都在盈利，为什么市场不看好出什么问题了吗,我看了财务数据挺不错的，都在盈利，为什么市场不看好?出什么问题了吗？,2019/8/10 8:06,中性,0
8.9年,孙大龙,民生银行(600016.sh),银行股中估值最低,为什么自己不增持？,2018/8/30 21:56,负向,-1
7.3年,股友mhyKOb,民生银行(600016.sh),在这里拉人是不是想叫点小散去接盘呀,在这里拉人是不是想叫点小散去接盘呀,2016/6/22 19:49,负向,-1
5年,之海2,民生银行(600016.sh),好好的银行不老实服务企业，每次罚款都有它，还让这样的企业企业上市，老百姓能相信这,好好的银行不老实服务企业，每次罚款都有它，还让这样的企业企业上市，老百姓能相信这样的银行嘛,2018/12/22 13:10,负向,-1
4.7年,想过好生活,民生银行(600016.sh),请问有哪位朋友费的股票是赚钱的,请问有哪位朋友费的股票是赚钱的,2018/3/23 9:39,正向,1
7.7年,股海无涯0295,民生银行(600016.sh),看好民生的股票但看衰笨蛋菲特91,这个观点贯穿几年 重来都没矛盾过 自认为看衰笨蛋菲特就是看衰民生银行的脑子可以修理一下了,2018/5/22 8:41,正向,1
5.4年,欧的力0061,民生银行(600016.sh),狸，你来了狸，你来了,狸，你来了狸，你来了,2017/3/30 9:43,中性,0
6.7年,hh大拇指,民生银行(600016.sh),真正黑马！！环保新能源000040东旭蓝天回购股权，利润爆增！,真正黑马！！环保+新能源000040东旭蓝天回购股权，利润爆增！,2018/8/22 14:17,正向,1
5.1年,股友YUmcp1,民生银行(600016.sh),略好于预期啊,业绩增长,2017/3/31 10:13,正向,1
5.8年,车数的5068,民生银行(600016.sh),真正努力过的人，就会明白天赋的重要。,真正努力过的人，就会明白天赋的重 要。,2017/3/17 10:52,中性,0
7.2年,玻璃杯里白开水,民生银行(600016.sh),待会去销户傲傲傲,待会去销户[傲][傲][傲],2017/2/28 9:56,负向,-1
5.9年,四川的小小股东4039,民生银行(600016.sh),连续5天投资者联系电话无人接听,连续5天投资者联系电话无人接听，难道是通信问题,2017/10/11 12:35,负向,-1
7年,沟口悲脾8902,民生银行(600016.sh),也只想回本离开这个吸血鬼。,也只想回本离开这个吸血鬼。,2017/10/14 14:26,负向,-1
8.1年,钱没纸贵,民生银行(600016.sh),三天涨一分。一周涨二分。一年就将近二十个点。有几个这样的股。场外资金会大,三天涨一分。 一周涨二分。 一年就将近二十个点。 有几个这样的股。 场外资金会大举买入的。 其它股大部分是主力自救。 低估的好股有钱就加吧。 如果安邦再加仓，就更牛了。,2018/11/4 9:03,负向,-1
9.1年,n772513678032396,民生银行(600016.sh),破位啊，剩下的一半也割了。买了好几个月，每股亏损1块多。,破位啊，剩下的一半也割了。买了好几个月，每股亏损1块多。,2018/6/22 11:05,负向,-1
5.4年,股友QLtMaB,民生银行(600016.sh),昨天收盘几分钟高潮了，射了，今天就一直软，岁数大了要等二十几天才能再高潮一次,昨天收盘几分钟高潮了，射了，今天就一直软，岁数大了要等二十几天才能再高潮一次,2019/5/29 19:11,负向,-1
3.4年,正义光辉胜太阳,民生银行(600016.sh),倒闭在即吗,不平安,2018/12/18 10:16,负向,-1
6.9年,北斗星七号7351,民生银行(600016.sh),这股应停盘1年,没人理它,2016/3/17 10:49,负向,-1
5.1年,股友YUmcp1,民生银行(600016.sh),今天股价7.9，净资产约估计9.5，pb0.83,大家说多少,2017/4/20 11:13,中性,0
7.6年,韮菜小哥,民生银行(600016.sh),垃圾民生，涨不起来，跌就一点不含糊,垃圾民生，涨不起来，跌就一点不含糊～,2018/10/19 15:03,负向,-1
6.8年,我真只要赚一点点,民生银行(600016.sh),我认输半个月没见涨的,我认输 半个月没见涨的,2017/3/8 12:11,负向,-1
6.8年,小布丁7h4pxr4506,民生银行(600016.sh),善于总结,善于总结,2016/6/27 9:37,中性,0
3.6年,股友wuryUm,民生银行(600016.sh),奉旨压盘困顿,奉旨压盘[困顿],2019/3/12 14:12,负向,-1
7.7年,狂人狂,民生银行(600016.sh),为了发新股拉,为了发新股拉,2018/2/23 13:44,中性,0
9.4年,xinjian823,民生银行(600016.sh),回到民生吧瞅瞅，小散还在对骂中......从康美药业金地集团1000ETF,回到民生吧瞅瞅，小散还在对骂中...... 从康美药业、金地集团、1000ETF出来，到民生吧看看，小散还在对骂中......，累不累？,2019/3/21 13:58,负向,-1
4.7年,Power23,民生银行(600016.sh),银行股拿来压仓打新，证券股炒一把，还是很划算，只要不是大涨大跌就可以啦。,银行股拿来压仓打新，证券股炒一把，还是很划算，只要不是大涨大跌就可以啦。,2018/11/15 19:33,中性,0
5.2年,ghbglikb54f8340,民生银行(600016.sh),一个在光明中睡着,一个在光明中睡着,2017/4/19 10:00,负向,-1
7.4年,snooqy,民生银行(600016.sh),明天新低，垃圾,明天新低，垃圾,2018/7/9 18:31,负向,-1
8.1年,钱没纸贵,民生银行(600016.sh),啪啪。没什么。不论如何都有代价。人心齐，泰山移。臣妾做不到啊.散户亏了无怨无悔，,啪啪。没什么。不论如何都有代价。人心齐，泰山移。臣妾做不到啊.散户亏了无怨无悔，有的屡败屡战，有的默默离开。谁在做空，谁在比散户离开，谁在亏着百姓的钱，却在赚着自己的钱。散户在战斗，又站在山岗上。向我开炮，向我开炮。围观的走了，机构走了。期盼吧，还有下一次救市，可是你...,2018/10/23 19:38,负向,-1
6.3年,俊君jun,民生银行(600016.sh),请问懂行的高手！银监会印发商业银行股权管理办法限制主要股东入股数量！和银监会就,请问懂行的高手！银监会印发商业银行股权管理办法限制主要股东入股数量！和银监会就《商业银行大额风险暴露管理办法》公开征求意见，这两个消息对银行利空吗？谢谢！,2018/1/6 10:32,中性,0
3.5年,股友GF6q0N,民生银行(600016.sh),半年报来临，该如何应对,半年报来临，该如何应对？,2018/10/27 9:52,中性,0
5年,皇者杰克,民生银行(600016.sh),放心买，老板在顶着，今天要是跌到8.10，我借钱入个几千股,放心买，老板在顶着，今天要是跌到8.10，我借钱入个几千股,2017/9/25 13:23,正向,1
6.1年,嘻嘻哈哈哈密瓜2817,三一重工(600031.sh),完了完了完了，大盘都成这样了,完了完了完了，大盘都成这样了,2017/4/17 11:34,负向,-1
3.1年,劉家贰少,三一重工(600031.sh),今天得见红，被我言中了。,今天得见红，被我言中了。,2019/8/6 10:56,正向,1
6.9年,3.04E+12,三一重工(600031.sh),你妈上涨跌，你不涨也跌,你妈上涨跌，你不涨也跌,2016/1/19 9:37,负向,-1
4.1年,淘个大龙虾,三一重工(600031.sh),真能忽悠，，看空的都卖了吧，，找市场里涨的快的，，看多的留下，，这对个股和你都好,真能忽悠，，看空的都卖了吧，，找市场里涨的快的，，看多的留下，，这对个股和你都好,2018/6/6 6:49,正向,1
8.3年,杯碗清咖,三一重工(600031.sh),13.42全部卖出，不知还有没机会低点再接回有些小后悔，应该留一半的。,13.42全部卖出，不知还有没机会低点再接回？有些小后悔，应该留一半的。,2019/7/17 12:24,正向,1
3.6年,慧日破诸闇,三一重工(600031.sh),为啥一直跌,为啥一直跌,2018/9/14 20:28,负向,-1
9.9年,拉姑家了1952,三一重工(600031.sh),天均线是钢铁铸就的,天均线是钢铁铸就的,2016/10/9 9:18,中性,0
7.1年,一字打板,三一重工(600031.sh),进了,进了,2016/2/26 13:40,正向,1
4.4年,股友w5nLIl8063,三一重工(600031.sh),坚定持股越跌越买感觉就要开涨了,坚持下去 [加油],2017/12/26 13:16,正向,1
7.9年,静逸轩741927945,三一重工(600031.sh),惨不忍睹！14元的本！！,[亏大了],2016/6/16 14:52,负向,-1
4.3年,股友Akrc1h,三一重工(600031.sh),辣鸡董事长，该撤职查办,辣鸡董事长，该撤职查办,2019/12/13 15:06,负向,-1
6.9年,睿博尔金融工作室,三一重工(600031.sh),上下一分游戏玩到收盘,上下一分游戏玩到收盘,2016/7/11 17:36,正向,1
8年,c6067014011,三一重工(600031.sh),人在做，天在看！祝一切喷子能够平安！,人在做，天在看！祝一切喷子能够平安！,2016/7/12 1:36,中性,0
6.1年,龙头排头兵,三一重工(600031.sh),三一重工算你狠有胆砸到底,三一重工算你狠有胆砸到底,2017/6/28 10:38,负向,-1
10.4年,QD德亨,三一重工(600031.sh),一边拉升一边建仓步入慢牛,稳住了 跑赢大盘 步入慢牛,2017/2/10 11:05,正向,1
5年,信阳哥得永生,三一重工(600031.sh),小散爆买坚决回避,这么好的股票真是可惜了，小散爆买坚决不能碰。一定会等小散磨出来才有戏。,2018/5/31 10:20,负向,-1
3.2年,stonegogogo,三一重工(600031.sh),不到14不卖,不到14不卖,2019/4/22 15:44,中性,0
4.7年,Ashely24118,三一重工(600031.sh),快买啊，杀比们，快来来来,快买啊，杀比们，快来来来,2017/9/6 10:09,负向,-1
8.3年,金币之战,三一重工(600031.sh),中国人寿，继续看好，下周继续翻红,难道你还想错过吗,2016/3/4 19:51,正向,1
7年,heniu6688,三一重工(600031.sh),好困惑好困惑好困惑,[好困惑][好困惑][好困惑],2019/1/9 14:25,负向,-1
7.3年,摩登帅哥,三一重工(600031.sh),量缩，三天未创新高，指标背离，感觉是假突破。,量缩，三天未创新高，指标背离，感觉是假突破。,2017/12/4 10:15,负向,-1
3.4年,股友z8SIVH,三一重工(600031.sh),两天亏了三个点，放着了断线变长线,两天亏了三个点，放着了断线变长线,2019/8/29 14:11,负向,-1
5.6年,弄苏壁409847,三一重工(600031.sh),别人换不掉的,别人换不掉的,2016/12/6 9:55,中性,0
11.9年,hjjabcd12340310,三一重工(600031.sh),否扭转中线头部就看国家队,否扭转中线头部就看国家队,2017/4/15 14:40,中性,0
7.1年,非洲小白脸123,三一重工(600031.sh),这股，庄家已高度控盘，尽力吸筹，各位何去何从,这股，庄家已高度控盘，尽力吸筹，各位何去何从？,2017/2/10 11:00,负向,-1
4.8年,AlunAlun7636,三一重工(600031.sh),经受住了昨天的风雨，离前高还远吗,经受住了昨天的风雨，虽然步子不大，却非常稳健，前高即将成为历史，迎来新的篇章。[献花][献花][大笑][大笑][大笑],2017/11/21 15:42,正向,1
6.7年,XDJ我愛你,三一重工(600031.sh),赶紧加仓抄底！,赶紧加仓抄底！,2016/1/12 10:41,正向,1
4.4年,张开翅膀的狼,三一重工(600031.sh),这个是不是要死又,这个是不是要死又,2019/6/1 18:54,负向,-1
4.5年,股友O5305I2338,三一重工(600031.sh),三一你爹喊你回家洗澡,三一你爹喊你回家洗澡,2018/3/28 13:51,负向,-1
6.7年,鲲跃北溟,三一重工(600031.sh),牛逼连跌三个礼拜,牛逼连跌三个礼拜,2019/9/27 9:47,负向,-1
6.7年,王妃洋洋,三一重工(600031.sh),恭喜恭喜还在车上的伙伴微笑,恭喜恭喜还在车上的伙伴[微笑],2019/7/26 11:30,正向,1
7.2年,蜀人王,三一重工(600031.sh),三一就是一个股渣,炒三一不如炒ST股。三一股价把中国资本市场脸都丢尽了。,2019/8/8 14:43,负向,-1
6.3年,广东云浮5071,三一重工(600031.sh),又套一部分散户！,又套一部分散户！,2016/2/2 15:03,负向,-1
6.4年,阿巴塞,三一重工(600031.sh),要过年了，股友们送点什么东西给三一的老总们好呢我们真是感激涕零潸然泪下啊,要过年了，股友们送点什么东西给三一的老总们好呢？我们真是感激涕零、潸然泪下啊……,2016/2/1 16:40,中性,0
8.8年,n406413743681830,三一重工(600031.sh),今天有戏，我们这很多人买这个股，有人推荐的。,今天有戏，我们这很多人买这个股，有人推荐的。,2017/10/23 13:42,正向,1
5.2年,zbndx4db0k9848,三一重工(600031.sh),这个时候不做不算错，懂得低吸高抛，控制好仓位，轻指数重个股,这个时候不做不算错，懂得低吸高抛，控制好仓位，轻指数重个股,2017/3/3 11:27,正向,1
6.5年,阿颜颜颜颜3968,三一重工(600031.sh),一方冲超之路前景光明孙喜双希望球队再接再厉,随着中甲下半程比赛的开始，各球队都竭尽全力为冲超做好了充分准备，一方球队也不例外。一方集团董事长孙喜双对球队提出的目标就是要冲超，为此，一方俱乐部做出了重大调整，俱乐部总经理和球队主帅双双换人，这也是孙喜双的重要决定之一。  　　  孙喜双决定，大连一方足球俱乐部原总经理石雪...,2016/7/22 12:08,正向,1
2.7年,抱朴守拙4,三一重工(600031.sh),无论三一怎么跌，我始终相信他，因为他的业绩好，市盈率低。业绩为王,无论三一怎么跌，我始终相信他，因为他的业绩好，市盈率低。业绩为王,2019/10/28 10:07,正向,1
5.8年,刘旭如,三一重工(600031.sh),三一是垃圾中的战斗机,三一是垃圾中的战斗机,2016/8/31 22:23,负向,-1
3.9年,股友zvgWd4,三一重工(600031.sh),回购下午开始！ ！！稍安勿躁！！！,回购下午开始！ ！！稍安勿躁！！！,2019/7/1 13:16,正向,1
8.8年,n661213762909226,三一重工(600031.sh),换手太低了，没资金进场,换手太低了，没资金进场,2016/12/19 10:04,负向,-1
7.1年,祝福大家伙1540,三一重工(600031.sh),岀了一大部分，心情好轻松！终于出来了,岀了一大部分，心情好轻松！终于出来了,2017/2/10 15:08,正向,1
6.6年,结实之雁来红,三一重工(600031.sh),6月后再关注大笑大笑,6月后再关注[大笑][大笑],2018/6/6 8:31,负向,-1
4.2年,股友JxdoZj,三一重工(600031.sh),调整结束了。。,调整结束了。。,2018/4/12 3:44,正向,1
3.2年,后知后觉后割肉,三一重工(600031.sh),使劲砸,使劲砸,2019/4/11 14:39,负向,-1
4.3年,股友KAQ4Ro,三一重工(600031.sh),三一今天符合机构增资之沉稳性，机会大于风险，柳工是明显游资主导，小散进场危险，心,三一今天符合机构增资之沉稳性，机会大于风险，柳工是明显游资主导，小散进场危险，心脏不好的小心,2018/5/15 20:07,正向,1
6.1年,龙头排头兵,三一重工(600031.sh),煮熟的鸭子又飞走了,煮熟的鸭子又飞走了,2017/7/27 10:53,负向,-1
7.1年,ajr258,三一重工(600031.sh),明天必须割肉卖掉,明天必须割肉卖掉,2016/7/27 11:31,负向,-1
4.5年,万红521,三一重工(600031.sh),今天有点很,今天有点很,2018/1/11 11:00,负向,-1
4.4年,梅林陈,三一重工(600031.sh),淡化周期，笑迎解禁。开启征程，试目以待。,淡化周期，笑迎解禁。开启征程，试目以待。,2019/9/5 13:44,正向,1
7.2年,释然的风,三一重工(600031.sh),今天分时走得很漂亮微笑,今天分时走得很漂亮[微笑],2018/8/24 10:34,正向,1
7.8年,别人说很酷,三一重工(600031.sh),被套了怕什么，我们可以装逼自己是长线价值投资者鼓掌,被套了怕什么，我们可以装逼自己是长线价值投资者[鼓掌],2018/5/23 11:51,负向,-1
6.9年,股友1x7f771131,三一重工(600031.sh),昨天9.22元买的10万股今天9.24元跑了，好悬啊！差点就被套了！,昨天9.22元买的10万股今天9.24元跑了，好悬啊！差点就被套了！,2016/7/19 10:17,中性,0
7年,静待风起云卷,三一重工(600031.sh),区块链下周必然火爆，不知三姨是否沾边,大家看看，是否有关；若沾边，必然到20元。,2019/10/27 12:55,中性,0
5年,船步夏坊小学,三一重工(600031.sh),三一重工最近出牌都是不按套路，前几天利好改拉升不拉升，拼命压盘，今天有小小利空，,三一重工最近出牌都是不按套路，前几天利好改拉升不拉升，拼命压盘，今天有小小利空，会不会也是一反常态的反而拉升？,2019/9/3 8:47,负向,-1
3.9年,股友F1bJeV,三一重工(600031.sh),感觉回购已经结束。大家怎么看,感觉回购已经结束。大家怎么看？,2019/7/16 10:48,中性,0
4.6年,股友tE7qZQ3975,三一重工(600031.sh),三一重工炒股就是炒心态，炒心性炒人性，炒人生,炒股就是炒心态，炒心性、炒人性，炒人生,2017/12/21 10:49,中性,0
6.8年,股友zHSCJ6,三一重工(600031.sh),能级跃迁,明天有望 ～反抽，反抽，上周的下半周那位拥有,2017/7/1 17:15,正向,1
5.3年,o冰凌雨o,三一重工(600031.sh),正是啤酒季，又是翻身季,正是啤酒季，又是翻身季,2018/8/29 23:58,正向,1
12.4年,因設诡异2894,三一重工(600031.sh),救个小孩72个小时，还想有奇迹出现,救个小孩72个小时，还想有奇迹出现,2016/11/9 17:34,负向,-1
7年,jiaojinshahu,三一重工(600031.sh),长金增持武昌鱼,长金增持武昌鱼,2016/12/28 16:11,中性,0
7.1年,小小散驾到9918,三一重工(600031.sh),失败的是事，绝不应是人。,失败的是事，绝不应是人。,2017/11/24 17:09,负向,-1
7年,乱股abcd,三一重工(600031.sh),三峡水利4月3日快速反弹,三峡水利4月3日快速反弹,2018/5/15 23:10,正向,1
